1,Catanzaro,45,20,13,6,1,38,15
2,Parma,42,20,12,6,2,35,16
3,Spezia,40,20,11,7,2,32,14
4,Salernitana,39,20,11,6,3,30,15
5,Reggiana,38,20,10,8,2,28,17
6,Pisa,36,20,10,6,4,26,18
7,Novara,35,20,9,8,3,29,20
8,Sudtirol,33,20,9,6,5,25,19
9,Brescia,32,20,8,8,4,27,22
10,Cremonese,31,20,8,7,5,24,21
11,Cittadella,30,20,8,6,6,22,23
12,Venezia,29,20,7,8,5,23,24
13,Sampdoria,28,20,7,7,6,26,27
14,Cosenza,27,20,7,6,7,21,25
15,Ascoli,26,20,6,8,6,20,26
16,Modena,25,20,6,7,7,19,27
17,Palermo,24,20,5,9,6,22,28
18,Catania,23,20,5,8,7,21,29
19,Avellino,22,20,5,7,8,18,30
20,Frosinone,21,20,4,9,7,17,31
